Holding_Ticker,Shares_Change,Change_Pct,Price,Price_Change_Pct,VWAP,Volume,Volume_Change_Pct,Shares_T0,Shares_T1
NOV,180980.0,0.5645%,20.46,-1.45%,20.5605,4491345.020453,-16.36%,32239502.0,32058522.0
6443,180000.0,0.8946%,0.0,0.00%,0.0,0.0,0.00%,20300168.0,20120168.0
LCID,179973.0,4.8163%,6.37,10.59%,6.1158,20927735.390733,23.28%,3916710.0,3736737.0
NFG,179970.0,2.1160%,84.38,-4.19%,85.5658,1863353.293958,42.37%,8685275.0,8505305.0
LNC,179470.0,0.8002%,37.81,2.24%,37.8234,1519124.941326,28.11%,22606376.0,22426906.0
PM,178885.3599999845,0.2430%,165.07,1.45%,165.0489,4821808.520003,27.58%,73788142.07,73609256.71000001
LNT,178729.4299999997,0.6688%,73.43,1.99%,73.1298,3934758.152019,121.54%,26900902.43,26722173.0
WTRG,172281.0,0.6857%,38.2,-3.27%,38.5275,3819052.369387,127.98%,25298267.0,25125986.0
RF,170841.53999999166,0.2054%,28.55,1.93%,28.4785,5648218.310853,-2.99%,83328544.55,83157703.01
KEY,170777.43999999762,0.1868%,22.11,2.03%,22.0628,9444644.507769,-5.15%,91577535.11,91406757.67
AEP,170408.6700000018,0.3371%,137.11,1.99%,136.8032,3691209.793335,27.40%,50722171.11,50551762.44
6244,169000.0,0.7725%,0.0,0.00%,0.0,0.0,0.00%,22045132.0,21876132.0
IRDM,167809.0,1.2909%,39.07,7.36%,38.6844,2168086.027784,34.96%,13167181.0,12999372.0
PCAR,167557.65999999642,0.4388%,118.8,0.56%,119.0451,2821704.230017,-17.08%,38351967.8,38184410.14
FITB,166986.9699999988,0.2446%,50.76,1.95%,50.6879,5985869.091075,38.53%,68437490.35,68270503.38
COMP,166551.0,0.7251%,7.57,-0.66%,7.5357,15656681.279631,44.23%,23135032.0,22968481.0
RBA,165652.0,1.1344%,104.3,-0.90%,104.7439,1635029.91896,86.41%,14768671.0,14603019.0
JOBY,165498.0,0.7298%,9.19,5.63%,9.0336,23136743.047301,-35.93%,22844171.0,22678673.0
NEM,164736.48000000417,0.2607%,111.09,3.23%,110.799,8294531.59317,13.59%,63346907.09,63182170.61
OKE,162503.1400000006,0.3036%,92.46,3.52%,91.6908,5873781.638609,-6.87%,53683982.46,53521479.32
PANW,162407.7800000012,0.2479%,179.32,-1.22%,178.3767,5777208.239408,38.96%,65678051.32,65515643.54
ANNX,161686.0,1.5078%,5.87,-0.34%,5.9086,2174817.913898,-15.02%,10885318.0,10723632.0
EQT,160061.9699999988,0.3532%,60.08,1.64%,60.0583,6907934.406942,-20.82%,45477181.08,45317119.11
6865,158000.0,0.8135%,0.0,0.00%,0.0,0.0,0.00%,19580421.0,19422421.0
JKHY,155568.0,2.6098%,153.75,0.00%,153.5112,950370.09536,29.42%,6116516.75,5960948.75
LBRT,155533.0,0.6489%,33.79,-0.09%,33.686,5257410.965421,-25.28%,24123505.0,23967972.0
KOS,154037.0,0.4255%,3.08,0.65%,3.0408,23872596.512081,40.47%,36354240.0,36200203.0
DUK,154014.0399999991,0.2466%,129.55,2.40%,129.0053,3799946.154665,63.64%,62605061.55,62451047.51
COF,152444.45999999344,0.3134%,191.3,0.24%,191.29,4914364.725269,48.46%,48795914.3,48643469.84
LBTYK,151357.0,4.3008%,11.34,1.98%,11.344,1257251.00641,35.44%,3670642.0,3519285.0
DVN,150485.29000000656,0.2865%,51.37,0.57%,51.0834,9691693.584341,-47.73%,52683133.370000005,52532648.08
FTNT,149383.20000000298,0.2324%,84.31,-2.09%,84.1353,5810521.343887,89.80%,64421959.31,64272576.11
GEHC,148883.36000000685,0.3841%,60.84,2.28%,60.2634,10031037.55668,-57.27%,38911829.84,38762946.48
300024 C2,148500.0,1.5160%,0.0,0.00%,0.0,0.0,0.00%,9943784.0,9795284.0
AFC LN,148030.0,1.0261%,0.0,0.00%,0.0,0.0,0.00%,14574805.0,14426775.0
CSGP,147780.4699999988,0.3918%,34.61,1.38%,34.3521,7908177.41367,-48.61%,37861971.61,37714191.14
HLX,147524.0,0.6695%,10.35,2.48%,10.3222,2163304.729639,4.02%,22181252.0,22033728.0
D,145370.0,0.2459%,64.5,3.20%,64.0592,8054353.545845,10.66%,59266869.5,59121499.5
PLD,145270.20000000298,0.2931%,142.02,2.31%,141.7194,3859585.148416,9.45%,49712387.02,49567116.82
DOW,144214.94000000507,0.3131%,40.49,2.38%,40.2237,15935601.698553,36.68%,46205956.49,46061741.55
MNKD,143454.0,0.5377%,2.83,2.91%,2.8189,3616946.593021,20.17%,26822120.0,26678666.0
2406,143000.0,0.8567%,0.0,0.00%,0.0,0.0,0.00%,16835446.0,16692446.0
KKR,142477.02000000328,0.3522%,104.34,5.05%,103.5571,5270734.416461,29.22%,40599066.34,40456589.32
VTRS,142472.9699999988,0.1682%,14.94,-0.20%,14.9934,12302138.434236,1.58%,84835125.94,84692652.97
MA,140952.69000000507,0.3298%,502.92,-4.25%,505.1198,5975052.967701,1.68%,42882705.92,42741753.23
UNH,139665.73999999464,0.2737%,370.48,-0.07%,369.0964,6879866.15224,-23.95%,51163339.48,51023673.74
HOOD,138781.68999999762,0.3101%,72.89,2.37%,72.7772,31179499.52224,-60.95%,44890517.89,44751736.2
CWH,137898.0,5.5045%,8.19,18.18%,8.0403,7116882.831187,60.26%,2643107.0,2505209.0
NEL NO,136400.0,1.0262%,0.0,0.00%,0.0,0.0,0.00%,13428720.0,13292320.0
IBRX,136214.0,0.5653%,7.1,2.01%,7.088,6536515.042697,-29.52%,24230057.0,24093843.0
1024 HK,135700.0,12.0005%,0.0,0.00%,0.0,0.0,0.00%,1266488.0,1130788.0
UMC,134940.0,1.0040%,13.06,2.43%,12.8928,15475555.574474,-39.00%,13575440.0,13440500.0
STE,134879.22999999858,1.5549%,216.88,1.99%,216.5032,952633.175705,17.54%,8809102.879999999,8674223.65
DOC,134131.1799999997,0.2022%,16.17,1.13%,16.1515,9296596.993131,17.55%,66473369.17,66339237.99
AES,133689.0,0.2062%,14.45,0.00%,14.4673,8588542.912738,-59.74%,64963441.45,64829752.45
ANET,132407.0300000012,0.2324%,172.71,2.39%,171.8579,6141686.13942,-2.05%,57094167.71,56961760.68
ALIT,131354.0,0.4214%,0.8274,10.31%,0.786,21585268.747806,49.54%,31300805.0,31169451.0
EOG,131229.44999999553,0.3129%,140.57,1.04%,140.1261,3809499.614013,22.91%,42065165.57,41933936.120000005
REAL,130597.0,2.8804%,11.89,1.02%,11.884,2052176.295383,-25.70%,4664636.0,4534039.0
APH,130581.8900000006,0.1829%,147.27,-0.75%,146.7018,9313958.477864,-34.97%,71532132.27,71401550.38
CTSH,130553.19999999553,0.2949%,52.9,-3.29%,52.9226,8342443.920215,1.80%,44397172.9,44266619.7
RES,130490.0,0.7999%,7.88,-0.38%,7.8849,1529634.444781,3.24%,16444582.0,16314092.0
HPE,129828.46999999881,0.1452%,28.77,1.66%,28.5866,17192249.801925,29.54%,89545044.77,89415216.3
BK,129786.10000000149,0.2889%,134.37,1.59%,134.3973,6068061.041532,73.64%,45060942.370000005,44931156.27
BX,129479.75,0.3447%,125.58,4.80%,124.5642,9135561.359377,52.44%,37697668.58,37568188.83
PPL,129423.78000000119,0.2148%,37.44,-3.16%,37.8521,27330281.421702,315.38%,60373036.44,60243612.66
CMG,129194.0,0.1657%,33.99,3.03%,33.9897,35147041.009534,17.83%,78096472.99000001,77967278.99000001
601958 C1,129000.0,0.3472%,0.0,0.00%,0.0,0.0,0.00%,37287315.0,37158315.0
OPK,128875.0,0.7047%,1.125,1.35%,1.1201,2634643.112083,-73.95%,18415725.0,18286850.0
ON,128756.95000000298,0.3364%,100.81,1.97%,100.5114,9553476.922882,-26.61%,38406062.81,38277305.86
DXCM,128721.98999999464,0.3598%,59.55,3.46%,58.9888,5343335.354772,-18.53%,35902925.55,35774203.56
KIM,128671.0,0.2100%,23.64,0.00%,23.6371,6040886.503394,32.48%,61409757.64,61281086.64
AMC,128654.0,0.7178%,1.52,-2.56%,1.5117,25146329.930024,1.88%,18052107.46,17923453.46
CEG,127847.0,0.4477%,313.0,5.39%,311.0862,2906483.820647,6.35%,28682150.0,28554303.0
WY,125263.27000000328,0.2817%,24.52,1.11%,24.47,8281863.89804,45.42%,44585194.52,44459931.25
IOVA,124273.0,0.4848%,3.36,1.51%,3.3647,16314671.97113,82.52%,25756884.0,25632611.0
RUN,123685.0,0.3386%,12.73,6.71%,12.5303,7576668.879392,-34.73%,36649370.0,36525685.0
FER,123577.0,0.6707%,68.91,1.97%,68.6346,1790098.092444,28.69%,18547363.0,18423786.0
AOS,123129.16000000015,1.1935%,61.84,-2.89%,61.7573,4557070.996952,74.29%,10439492.84,10316363.68
PUMP,123034.0,1.5965%,17.13,-5.88%,17.3923,5508268.064604,27.78%,7829702.0,7706668.0
CMPS,122549.0,20.2760%,9.06,8.11%,8.6209,2683892.202983,26.97%,726953.0,604404.0
COST,121896.8599999994,0.3846%,1014.53,1.59%,1013.3686,2099474.834835,38.13%,31820374.53,31698477.67
XENE,121869.0,3.5308%,56.04,0.52%,55.8961,1345955.916201,-21.98%,3573462.0,3451593.0
LOW,120535.2899999991,0.4620%,238.79,2.27%,238.0749,2959163.711149,-7.68%,26209179.79,26088644.5
NE,120468.0,0.6527%,51.03,1.45%,50.9025,2223690.430254,-31.76%,18578420.0,18457952.0
BCRX,120407.0,0.6455%,9.16,1.89%,9.1823,3321404.049339,0.56%,18772973.0,18652566.0
ISRG,120307.78000000119,0.4374%,457.61,0.83%,454.936,2000176.389529,-2.87%,27624327.61,27504019.83
TSHA,120267.0,0.7213%,6.39,1.91%,6.3891,1907670.102503,-31.92%,16794369.0,16674102.0
INDI,119708.0,0.7279%,4.51,10.27%,4.4028,9258409.151625,41.31%,16565824.0,16446116.0
DCI,118810.0,1.0957%,88.17,1.34%,88.259,768160.072525,93.28%,10962251.0,10843441.0
INVH,118179.70000000298,0.2458%,28.77,2.49%,28.8766,9685540.928132,45.83%,48205560.77,48087381.07
DIS,117879.45000000298,0.1403%,103.75,2.42%,102.9812,9203504.703304,66.34%,84118950.75,84001071.3
CBSH,116345.0,0.9272%,52.03,1.56%,51.9023,1613701.43893,55.56%,12664276.0,12547931.0
